feature	Taxon	Confidence
c7b8f38b0a80d07d30564ca1f99d0c1a	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__	0.8627484938467577
30cb70ddd610fd3e09ee435e073e8ec2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium	0.8069421455793073
3e9a17a40cb084f909395c54081404f9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999999993636537
20c9144f233317226ccaea2fc042f6dd	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.99999999780051
36c1bce611b4038e694705c4328b5bdc	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999991607567407
83d9a0fc83ee2ce4fe0c13dafde794f7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.9877743926888345
ccee221a7c1b10aa2d152ef9672ee269	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.8341008606917899
daf65e90605d93160e369dbf71ffed41	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.7143426033901001
427b221cec4852b7f823abfc0f3251df	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999957435968474
37d85fbed19304f4e64aba48eef54a99	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.9994570695244024
d0790a7b6cad59820dc8aa733cdfc9b1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999998585081429
dcf86bb65ce90e229bf980f18a5ccd2a	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__C21_c20	0.9999997309839379
8ecf5a84b956ababdbb3e89b8f2dd4e4	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999971585145186
ae12cca2e0657c7a5908e6e5e963a364	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0.7863497838457776
bcf7adc815ad407e49ece9dd088e734a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.791911221006806
b6b795cc8ccd435de169156105af0e2a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9040275668347101
4c71321e1dc09a2360f2b471a83083d6	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999998198090501
f4b757cf681d308419d23e4fa584e4bd	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	0.988678796202018
dc0b816363d1a8ddc9e099db3354df36	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.8459507893714109
7ba60ec4a4a7bfa7b1654677a8b02577	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999999976729054
7d54af6f646eeb291d64ee21a3f9acfe	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999999315872566
dd92d56552a8b313fd3f2355938fcc06	k__Bacteria	0.9674270247914695
4a9797399659fec9253598bff6f55b7d	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__C21_c20	0.9999996334272329
7b25a31f8fa96c1c15764c9d867e20cd	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.7500715802007871
ca11de0afb08a3d778c3b4efcfe74617	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999983215364967
5cd635f1d4c72058ef26b0ad7ce1e7c4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999999997368495
59220e474427955758aefd2eea36b106	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9999670125465981
d9048ff6cf5641bfa7bf1ed6942b4ed0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999999997275281
ca54231e81a204bace6c4902ec399250	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9374774571329246
92cf3fcf3f37612a2e59380f20af57e3	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__acidifaciens	0.9813320383934745
6271d09183676aa776baa51427a23445	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Candidatus Arthromitus; s__	0.9999999999976694
ee59cdb122b176003e698b32311cf6af	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum; s__	0.9999999999979963
a002b88bd84b817de57f09ca5d62a50c	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__AF12; s__	0.9999996548909165
30cd3a3cdf748ec5cd6c4dc974080b71	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999999671707661
9195adc9c943f48fa8c709e5d1dd85ca	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__acidifaciens	0.9804762705038371
972fe7e45239f6e17f83351c25dc41da	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	0.9993829330535405
44de596e4939ee88e55f01e8a5d5fa15	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999999988241427
062b35a85117e2e17dd1a6a0664034b9	k__Bacteria	0.9351074978904358
