feature,Taxon,Time_p,Treatment_p,Inter_time_treatment,OVXDHT_OVXP_P,OVXDHT_SHAMDHT_P,OVXDHT_SHAMP_P,OVXP_SHAMDHT_P,OVXP_SHAMP_P,SHAMDHT_SHAMP_P
60b20d764c1f2c35287b225e3b195b2e,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.005547808687662165,0.04026455204374164,0.4770636252781605,0.8356011204357731,0.18767349897148833,7.465563951393195e-4,0.6280373755232951,0.008435214991555084,0.13964929352725997
61f41b7546d47c5a7495d40062c6b1e5,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.38708720411947106,0.02572139206155491,0.16063021479126047,0.8423184748782274,0.8164444838328077,0.9697398630014995,0.3379132565536034,0.9811626521997681,0.5531194546423792
626d5d8df116add83e6b14c60adbc2dc,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,0.004399044044753886,3.7153336871962954e-4,0.5698264148040345,0.025554077462050295,0.36382629508894193,0.7886403214981649,2.703244112584047e-4,0.0020988855332901846,0.8852560661325016
64547667c88735701e168289a2a66718,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,0.010308955484747582,1.1484658002380854e-5,0.22435770685235876,0.014413855195494651,0.991621669793863,0.9987577062106734,0.006801471957836647,0.009426666213681933,0.9990547769409022
67d5d4536a4458ff638dfbff7097ec89,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.12715543547254515,0.10942281113362082,0.02638603889828506,0.38493676515428243,0.9967275865063236,0.3094020347333093,0.2810701019350653,0.9991854145495556,0.21874867866879766
827d1c59a1b81504ea0794dc038b2ca5,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__,0.03515944278582307,8.734189741948444e-4,0.6575931370345226,0.7264992252956395,0.16852294982727234,0.9899943996077969,0.016712886024631612,0.8798680894621269,0.09052471096308645
87b4ed017eb7d626fc735b2ac7f59539,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__,0.06420058781279166,0.11829756681469776,0.048117888397297075,0.2257203753684649,0.802824046970965,0.9302563408152421,0.03447585182431456,0.5367417397682201,0.44260608838120086
896ff78f6a5e46e65321c4b3c8e0635d,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,0.010144262340205934,2.3041790697675424e-7,0.7199293276474807,0.03122597110814096,0.9290352875942002,0.8483591221492315,0.006646871055358217,0.003686759501251635,0.9970302095008131
8a308a269f4a15e0885ddfba3d4c408e,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae; g__Mucispirillum; s__schaedleri,0.02283494236270389,0.4498276645239029,0.9118596876796353,0.014018543886050283,0.269876354877026,0.028414549357809737,0.5195926440881458,0.9892195147569356,0.7039971013485553
8a9a536075ca4d38f077c4f22d915770,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__,0.0012006846705769902,0.02572139206155491,0.17192042598022206,0.03655392707789762,2.0373825070296725e-4,3.631865579722948e-5,0.26338566601798374,0.09252879709164485,0.9461703383634246
8b599949a0dc390d21e6327a64e93f02,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.2245098404839907,0.7310149582521669,0.19944446539965913,0.8363990167620038,0.9058263635421038,0.15716278623431768,0.998373341205901,0.5687119299508478,0.4644348335420584
8ccde3af6976e7fe31372774390a11af,k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae; g__Mucispirillum; s__schaedleri,0.006339002894327761,0.006028106311192558,0.25809030775674635,0.0022185890814748754,0.005347244524153472,0.013123830780629175,0.9869208964584273,0.9018404331266192,0.9847890680097727
8fd65a495f609867ac5f609ee329dc74,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__vaginalis,0.04378724186181362,0.002550785789929659,0.048117888397297075,0.050003940481132436,0.9900004454922695,0.9736944720563332,0.024293194735649726,0.12132924649740295,0.8836125096980739
931f5883b3352b8bc0552454962244f8,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.04090956892616128,0.4954739743249384,0.42786990716598244,0.6576660709433515,0.5912324991998481,0.3644396811186563,0.09205457313605325,0.9619446786098809,0.02945695780981361
98fd423223691b54d67d30e17ea6ba0d,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__,0.036533066483849616,0.182992221680877,0.6575931370345226,0.5244648346862659,0.29302516673711954,0.8879861582960291,0.0161100488674375,0.9125231345596861,0.0738006091592518
9b749402c0eef9bb5e247fb27254e334,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.02283494236270389,0.08709837276469008,0.5177300192546955,0.8944933942728988,0.06750682679717246,0.5748548832457707,0.012625930240637517,0.20968001914513812,0.58300125033235894
9d607ec0281187001a9d6e5e22f9561d,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.00941912101278512,0.7671296162411956,0.2009119317632455,0.9332233357967386,0.870445142757874,0.0033663120718965267,0.9983772446273533,0.017456159871320875,0.025311443731317773
aa21937bf830e3909322292dc6e6b93f,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.04223590833907359,0.18546296528138886,0.3271404677853532,0.347161823773945,0.8798148158494945,0.2077301493257686,0.09125054293611468,0.9908260623551153,0.04465864653566631
